TradeID,Trader,Broker,Symbol,AccountID,AccountSize,StartegyName,Profile,Entry Type,Exit Type,Start Date,End Date,Trade Duration(m),Start Price,End Price,Contracts,Position size,Margin,Commission,Profit,Drawdown,Drawdown %,Run-up,Run-up %
LiveIBU11432757MNQM345008.7412990.25,Algo,IB,MNQM3,U11432757,1030.9,ReversalPnF,Live,Short,Profit Target,23/03/2023 17:20,23/03/2023 17:40,20,12990.25,12970.25,1,25980.5,3000,2.5,37.5,-42.75,0,34.25,0
LiveIBU11432757MNQM345008.8912768.25,Algo,IB,MNQM3,U11432757,1047.1,ReversalPnF,Live,Long,Profit Target,23/03/2023 21:10,23/03/2023 21:20,10,12768.25,12788.25,1,25536.5,3000,2.5,37.5,-11.25,-0.04,11.75,0.05
LiveIBU11432757MNQM345009.4712850.25,Algo,IB,MNQM3,U11432757,1076.66,ReversalPnF,Live,Long,Profit Target,24/03/2023 11:00,24/03/2023 11:10,10,12850.25,12870.25,1,25700.5,3000,2.5,37.5,-17.75,-0.07,-0.25,0
LiveIBU11432757MNQM345009.4912830.75,Algo,IB,MNQM3,U11432757,1113.61,ReversalPnF,Live,Long,Profit Target,24/03/2023 11:40,24/03/2023 11:50,10,12830.75,12850.75,1,25661.5,3000,2.5,37.5,-9.75,-0.04,7.75,0.03
LiveIBU11432757MNQM345009.6012817.00,Algo,IB,MNQM3,U11432757,1056.56,ReversalPnF,Live,Long,S_Time_Exit,24/03/2023 12:30,24/03/2023 14:20,110,12817,12788.5,1,25634,3000,2.5,-59.5,-85.75,-0.33,4.25,0.02
LiveIBU11432757MNQM345009.7012813.75,Algo,IB,MNQM3,U11432757,-101.44,ReversalPnF,Live,Short,Profit Target,24/03/2023 16:50,24/03/2023 16:50,0,12813.75,12793.75,1,25627.5,3000,2.5,37.5,-2.25,-0.01,2.25,0.01
LiveIBU11432757MNQM345009.7112824.25,Algo,IB,MNQM3,U11432757,1141,ReversalPnF,Live,Short,Profit Target,24/03/2023 17:00,24/03/2023 17:00,0,12824.25,12804.25,1,25648.5,3000,2.5,37.5,-2.25,-0.01,2.25,0.01
LiveIBU11432757MNQM345009.7212833.75,Algo,IB,MNQM3,U11432757,1181.65,ReversalPnF,Live,Short,Profit Target,24/03/2023 17:10,24/03/2023 17:10,0,12833.75,12813.75,1,25667.5,3000,2.5,37.5,-2.25,-0.01,2.25,0.01
LiveIBU11432757MNQM345009.7812829.25,Algo,IB,MNQM3,U11432757,1216.27,ReversalPnF,Live,Short,Profit Target,24/03/2023 18:40,24/03/2023 18:40,0,12829.25,12809.25,1,25658.5,3000,2.5,37.5,-2.25,-0.01,2.25,0.01
Incubation2IBSIM002MNQM345012.9212821.75,Algo,IB,MNQM3,SIM002,5074.5,ReversalPnF,Incubation2,Long,Profit Target,27/03/2023 21:19,27/03/2023 22:01,41.57,12821.75,12863,1,25643.5,3000,2.5,80,0,0,0,0
